R:263435.0,P:254860.4375
R:89471.0,P:93697.5703125
R:113000.0,P:116727.9921875
R:285000.0,P:283190.125
R:114504.0,P:126049.8046875
R:239000.0,P:215880.296875
R:122500.0,P:118661.7265625
R:111000.0,P:109953.0703125
R:260000.0,P:255103.765625
R:124500.0,P:123695.875
R:144000.0,P:144345.578125
R:180500.0,P:177479.4375
R:137900.0,P:138905.65625
R:136000.0,P:144118.078125
R:225000.0,P:216649.75
R:135000.0,P:133585.8125
R:151000.0,P:142723.875
R:223500.0,P:229000.40625
R:307000.0,P:295165.625
R:174000.0,P:167717.65625
R:315000.0,P:336122.5625
R:185000.0,P:184348.9375
R:82000.0,P:81452.8515625
R:98000.0,P:104916.8359375
R:295493.0,P:287310.59375
R:120000.0,P:123378.7890625
R:228500.0,P:244657.515625
R:217000.0,P:210422.0
R:283463.0,P:305854.75
R:108000.0,P:116765.8984375
R:130000.0,P:136856.78125
R:93000.0,P:97308.71875
R:170000.0,P:171147.75
R:437154.0,P:440685.125
R:109500.0,P:110214.859375
R:181000.0,P:179362.0
R:119500.0,P:123841.2578125
R:125000.0,P:132729.03125
R:219210.0,P:217939.1875
R:136500.0,P:141995.3125
R:139000.0,P:135207.21875
R:40000.0,P:76044.9921875
R:127000.0,P:129559.5390625
R:438780.0,P:442672.375
R:231500.0,P:202143.140625
R:80000.0,P:93461.4609375
R:320000.0,P:302923.40625
R:415298.0,P:407225.21875
R:412500.0,P:417170.0625
R:80000.0,P:80288.046875
R:138000.0,P:130937.9609375
R:109900.0,P:115846.421875
R:177000.0,P:176191.09375
R:132500.0,P:142694.9375
R:250000.0,P:253281.390625
R:260000.0,P:272371.25
R:275500.0,P:279154.625
R:110000.0,P:120960.609375
R:228000.0,P:232137.59375
R:275000.0,P:330391.09375
R:155000.0,P:164955.625
R:108480.0,P:123233.0625
R:176500.0,P:177270.21875
R:102000.0,P:101921.1328125
R:266500.0,P:272245.4375
R:149500.0,P:149844.359375
R:181000.0,P:175355.46875
R:144900.0,P:149205.234375
R:203000.0,P:209364.921875
R:320000.0,P:330346.1875
R:133900.0,P:138591.703125
R:134500.0,P:131293.34375
R:108500.0,P:108941.3203125
R:118000.0,P:117655.7578125
R:137500.0,P:151557.28125
R:120000.0,P:121287.3359375
R:186500.0,P:191221.0
R:120000.0,P:129804.9453125
R:68400.0,P:70308.0859375
R:148500.0,P:156055.875
R:125000.0,P:132222.625
R:153000.0,P:149129.0
R:160200.0,P:171273.015625
R:361919.0,P:356393.53125
R:174000.0,P:175506.09375
R:187000.0,P:197887.5
R:207500.0,P:197668.03125
R:214000.0,P:206667.171875
R:167000.0,P:183305.59375
R:105000.0,P:107812.75
R:335000.0,P:334935.875
R:130000.0,P:166216.65625
R:475000.0,P:479017.875
R:129000.0,P:133919.6875
R:156000.0,P:141215.234375
R:178000.0,P:176539.921875
R:252000.0,P:251753.015625
R:233170.0,P:229552.625
R:392500.0,P:363317.84375
R:309000.0,P:318825.21875
R:97000.0,P:117657.4140625
R:354000.0,P:335627.28125
R:241000.0,P:184238.625
R:154000.0,P:145157.03125
R:95000.0,P:89455.2265625
R:180000.0,P:192070.5625
R:108959.0,P:102277.4609375
R:87000.0,P:90406.234375
R:112000.0,P:112622.828125
R:255500.0,P:261858.625
R:122900.0,P:124715.1796875
R:216837.0,P:233834.25
R:193500.0,P:196422.703125
R:169990.0,P:170420.421875
R:156500.0,P:151586.328125
R:112500.0,P:116411.4296875
R:145250.0,P:153557.0625
R:154000.0,P:158583.90625
R:115000.0,P:127960.5234375
R:265000.0,P:268662.40625
R:159000.0,P:185252.71875
R:295000.0,P:301223.4375
R:155000.0,P:153464.75
R:143500.0,P:149947.46875
R:169500.0,P:162955.921875
R:196500.0,P:194998.46875
R:189950.0,P:190998.390625
R:235000.0,P:231715.6875
R:301000.0,P:300946.0625
R:350000.0,P:354034.75
R:132500.0,P:132710.46875
R:164500.0,P:176074.40625
R:100000.0,P:100273.9765625
R:253293.0,P:263561.53125
R:160000.0,P:157531.84375
R:147000.0,P:145452.59375
R:192000.0,P:194395.5
R:120500.0,P:122592.8359375
R:105500.0,P:98380.265625
R:35311.0,P:34099.52734375
R:143000.0,P:145268.34375
R:440000.0,P:388322.96875
R:214000.0,P:213647.53125
R:100000.0,P:98218.90625
R:154500.0,P:160800.625
R:198900.0,P:198477.4375
R:131000.0,P:127388.4453125
R:227875.0,P:230967.59375
R:173733.0,P:176074.40625
R:155000.0,P:153023.5
R:133000.0,P:129641.6015625
R:240000.0,P:242721.359375
R:254000.0,P:239604.4375
R:280000.0,P:248157.78125
R:132000.0,P:124853.84375
R:143000.0,P:142424.4375
R:108000.0,P:106760.8671875
R:120500.0,P:116545.0234375
R:171000.0,P:174285.953125
R:181000.0,P:191687.578125
R:215000.0,P:222400.578125
R:112500.0,P:131670.71875
R:280000.0,P:283461.8125
R:372500.0,P:372396.6875
R:140000.0,P:144778.125
R:91000.0,P:91597.1796875
R:147000.0,P:140934.4375
R:125000.0,P:124471.65625
R:266000.0,P:271242.6875
R:145000.0,P:152561.84375
R:360000.0,P:345676.9375
R:164500.0,P:166899.734375
R:148500.0,P:157105.46875
R:232000.0,P:230986.15625
R:131400.0,P:140258.6875
R:155000.0,P:156830.453125
R:254900.0,P:248967.09375
R:172500.0,P:183649.296875
R:143000.0,P:120765.0703125
R:126175.0,P:132439.140625
R:88000.0,P:89723.5859375
R:125000.0,P:132568.796875
R:174000.0,P:190100.875
R:129500.0,P:121480.7265625
R:119900.0,P:125851.359375
R:118500.0,P:123336.2890625
R:176000.0,P:182768.9375
R:99500.0,P:120973.2421875
R:297000.0,P:291228.4375
R:118964.0,P:120726.296875
R:226700.0,P:218294.734375
R:138500.0,P:132652.25
R:142500.0,P:136983.8125
R:139000.0,P:138013.484375
R:171000.0,P:175649.53125
R:160000.0,P:158502.5
R:132000.0,P:134698.375
R:141000.0,P:139746.46875
R:201000.0,P:204427.359375
R:75000.0,P:66930.3125
R:124000.0,P:115301.0859375
R:127000.0,P:125923.1796875
R:139000.0,P:144540.21875
R:100000.0,P:116149.6015625
R:152000.0,P:129485.0703125
R:134900.0,P:129859.65625
R:131500.0,P:137472.59375
R:350000.0,P:354385.875
R:378500.0,P:381873.5625
R:185500.0,P:200520.125
R:230000.0,P:230448.703125
R:189000.0,P:183217.984375
R:200000.0,P:224387.375
R:207000.0,P:200228.78125
R:185850.0,P:205190.375
R:144000.0,P:152800.78125
R:210000.0,P:222822.109375
R:129900.0,P:144196.828125
R:215200.0,P:210564.921875
R:145000.0,P:145998.234375
R:253000.0,P:250386.0625
R:62383.0,P:110709.5078125
R:124000.0,P:120514.328125
R:233230.0,P:249719.328125
R:135000.0,P:144314.21875
R:206900.0,P:211153.15625
R:194201.0,P:198398.34375
R:110000.0,P:102437.53125
R:142500.0,P:145185.46875
R:109900.0,P:119403.21875
R:135000.0,P:139517.171875
R:240000.0,P:263795.4375
R:155900.0,P:142781.484375
R:125500.0,P:131215.875
R:201000.0,P:177683.46875
R:64500.0,P:64669.9921875
R:240000.0,P:232632.15625
R:118858.0,P:120265.4296875
R:139950.0,P:142206.46875
R:123000.0,P:131512.828125
R:316600.0,P:325785.03125
R:117500.0,P:111064.984375
R:117500.0,P:117071.734375
R:91500.0,P:111951.6015625
R:204900.0,P:216799.59375
R:239000.0,P:240953.0
R:89000.0,P:86111.6953125
R:625000.0,P:629020.875
R:141000.0,P:136867.90625
R:134000.0,P:133354.671875
R:83000.0,P:87239.4296875
R:274900.0,P:300040.125
R:109000.0,P:99015.1796875
R:102000.0,P:114302.9609375
R:305000.0,P:316472.4375
R:325000.0,P:333931.0625
R:135000.0,P:129046.1015625
R:130000.0,P:135699.453125
R:191000.0,P:207520.5625
R:200100.0,P:204474.6875
R:367294.0,P:372893.4375
R:221000.0,P:214455.53125
R:225000.0,P:227269.109375
R:258000.0,P:262988.1875
R:184750.0,P:190938.15625
R:156000.0,P:156409.28125
R:139000.0,P:131102.40625
R:212000.0,P:235328.34375
R:127500.0,P:135304.203125
R:119000.0,P:115012.65625
R:117000.0,P:121425.4296875
R:208500.0,P:218433.234375
R:210000.0,P:190515.796875
R:146500.0,P:152935.9375
R:172785.0,P:176108.46875
R:60000.0,P:116402.3359375
R:138887.0,P:139137.21875
R:225000.0,P:227960.84375
R:135000.0,P:132715.15625
R:133000.0,P:130809.6171875
R:285000.0,P:294594.1875
R:60000.0,P:60209.51953125
R:125500.0,P:113852.5078125
R:286000.0,P:290694.96875
R:148000.0,P:145715.71875
R:131500.0,P:142741.140625
R:215000.0,P:198222.171875
R:159500.0,P:155415.859375
R:176000.0,P:177134.078125
R:257000.0,P:272643.03125
R:79000.0,P:88456.0859375
R:190000.0,P:206742.71875
R:147500.0,P:152984.203125
R:242000.0,P:246358.8125
R:260000.0,P:258555.8125
R:501837.0,P:501447.0
R:119000.0,P:104029.0703125
R:83000.0,P:83972.5703125
R:113000.0,P:122476.609375
R:239500.0,P:248000.125
R:370878.0,P:369365.65625
R:180000.0,P:177638.578125
R:118000.0,P:116401.8515625
R:264561.0,P:262813.9375
R:119000.0,P:117008.765625
R:219500.0,P:203163.75
R:179900.0,P:166497.84375
R:277500.0,P:288467.15625
R:230500.0,P:249232.3125
R:220000.0,P:228428.5
R:236000.0,P:239162.609375
R:106000.0,P:102059.3046875
R:269790.0,P:238264.453125
R:403000.0,P:409065.5625
R:137500.0,P:126118.328125
R:105000.0,P:94535.75
R:176000.0,P:170474.015625
R:82500.0,P:124380.0546875
R:98600.0,P:115020.7421875
R:129000.0,P:129119.4296875
R:149900.0,P:134098.8125
R:192000.0,P:200028.109375
R:110500.0,P:126147.3515625
R:100000.0,P:104741.4609375
R:248328.0,P:246514.53125
R:180000.0,P:173746.84375
R:140000.0,P:144787.859375
R:110000.0,P:105580.46875
R:166000.0,P:162645.765625
R:124900.0,P:128701.4765625
R:187500.0,P:190568.734375
R:318000.0,P:308585.71875
R:135000.0,P:129201.7890625
R:275000.0,P:280980.59375
R:68500.0,P:75759.9765625
R:137000.0,P:133235.703125
R:127500.0,P:120959.0234375
R:128000.0,P:123236.8984375
R:274725.0,P:284168.3125
R:251000.0,P:267788.9375
R:242000.0,P:243855.6875
R:140000.0,P:141085.296875
R:155000.0,P:157170.078125
R:369900.0,P:406594.8125
R:202900.0,P:214511.71875
R:153900.0,P:150951.34375
R:146000.0,P:153072.109375
R:170000.0,P:171845.34375
R:208300.0,P:205524.46875
R:89500.0,P:93309.5078125
R:230000.0,P:237651.4375
R:129900.0,P:114013.6796875
R:214000.0,P:216155.1875
R:107400.0,P:109241.8125
R:95000.0,P:88983.8984375
R:91000.0,P:97135.3828125
R:280000.0,P:248951.8125
R:79900.0,P:72051.203125
R:208900.0,P:200685.40625
R:187000.0,P:192990.4375
R:410000.0,P:411362.28125
R:320000.0,P:343267.40625
