R:263435.0,P:227181.21875
R:89471.0,P:104705.875
R:113000.0,P:114149.5859375
R:285000.0,P:259758.046875
R:114504.0,P:122604.7578125
R:239000.0,P:200576.953125
R:122500.0,P:126623.8515625
R:111000.0,P:103786.265625
R:260000.0,P:259356.453125
R:124500.0,P:114688.3203125
R:144000.0,P:140082.890625
R:180500.0,P:143236.671875
R:137900.0,P:164373.359375
R:136000.0,P:167788.625
R:225000.0,P:230581.46875
R:135000.0,P:135252.03125
R:151000.0,P:142873.609375
R:223500.0,P:221259.9375
R:307000.0,P:283785.09375
R:174000.0,P:161875.078125
R:315000.0,P:315125.4375
R:185000.0,P:183824.4375
R:82000.0,P:93304.265625
R:98000.0,P:104578.6484375
R:295493.0,P:293827.0625
R:120000.0,P:115378.8828125
R:228500.0,P:230771.4375
R:217000.0,P:215450.109375
R:283463.0,P:299098.75
R:108000.0,P:94491.7109375
R:130000.0,P:140081.828125
R:93000.0,P:124298.3046875
R:170000.0,P:167401.1875
R:437154.0,P:437603.90625
R:109500.0,P:115101.7578125
R:181000.0,P:181405.234375
R:119500.0,P:122971.9296875
R:125000.0,P:122770.9921875
R:219210.0,P:220666.859375
R:136500.0,P:140080.53125
R:139000.0,P:130725.3203125
R:40000.0,P:97114.0078125
R:127000.0,P:125097.4453125
R:438780.0,P:439326.03125
R:231500.0,P:198634.671875
R:80000.0,P:88755.3984375
R:320000.0,P:320443.375
R:415298.0,P:411899.4375
R:412500.0,P:412379.5
R:80000.0,P:91132.7578125
R:138000.0,P:136151.265625
R:109900.0,P:96006.1953125
R:177000.0,P:177528.328125
R:132500.0,P:137027.921875
R:250000.0,P:226867.625
R:260000.0,P:266319.96875
R:275500.0,P:273449.53125
R:110000.0,P:122676.5234375
R:228000.0,P:237195.453125
R:275000.0,P:331686.5
R:155000.0,P:163877.21875
R:108480.0,P:109123.5390625
R:176500.0,P:165431.203125
R:102000.0,P:110727.7421875
R:266500.0,P:251195.859375
R:149500.0,P:148965.5
R:181000.0,P:176306.203125
R:144900.0,P:141673.453125
R:203000.0,P:205251.640625
R:320000.0,P:324671.6875
R:133900.0,P:130327.390625
R:134500.0,P:130424.7734375
R:108500.0,P:100641.9296875
R:118000.0,P:120305.28125
R:137500.0,P:138023.671875
R:120000.0,P:115252.5078125
R:186500.0,P:193119.09375
R:120000.0,P:132986.59375
R:68400.0,P:113133.5546875
R:148500.0,P:160282.421875
R:125000.0,P:132793.171875
R:153000.0,P:150636.109375
R:160200.0,P:175185.15625
R:361919.0,P:357582.625
R:174000.0,P:164417.765625
R:187000.0,P:171842.765625
R:207500.0,P:196719.328125
R:214000.0,P:204095.796875
R:167000.0,P:176173.390625
R:105000.0,P:114413.4453125
R:335000.0,P:326095.125
R:130000.0,P:186657.390625
R:475000.0,P:476326.4375
R:129000.0,P:133880.984375
R:156000.0,P:135786.234375
R:178000.0,P:183016.640625
R:252000.0,P:267342.1875
R:233170.0,P:234003.84375
R:392500.0,P:350052.875
R:309000.0,P:323207.0625
R:97000.0,P:117928.7265625
R:354000.0,P:315380.625
R:241000.0,P:187108.5
R:154000.0,P:147726.859375
R:95000.0,P:98681.1484375
R:180000.0,P:181192.359375
R:108959.0,P:121331.6953125
R:87000.0,P:109630.2265625
R:112000.0,P:138059.421875
R:255500.0,P:241833.65625
R:122900.0,P:123531.8359375
R:216837.0,P:259106.546875
R:193500.0,P:198450.921875
R:169990.0,P:177060.109375
R:156500.0,P:170169.609375
R:112500.0,P:112343.7109375
R:145250.0,P:149530.59375
R:154000.0,P:140767.6875
R:115000.0,P:136998.375
R:265000.0,P:264337.09375
R:159000.0,P:170872.265625
R:295000.0,P:282429.5
R:155000.0,P:139958.828125
R:143500.0,P:144001.453125
R:169500.0,P:149297.890625
R:196500.0,P:184836.328125
R:189950.0,P:182710.859375
R:235000.0,P:217664.046875
R:301000.0,P:278958.34375
R:350000.0,P:326812.0625
R:132500.0,P:128870.7265625
R:164500.0,P:165924.640625
R:100000.0,P:103976.6015625
R:253293.0,P:252365.515625
R:160000.0,P:141703.453125
R:147000.0,P:143846.96875
R:192000.0,P:190466.21875
R:120500.0,P:115688.7109375
R:105500.0,P:108819.9140625
R:35311.0,P:39844.40234375
R:143000.0,P:142101.828125
R:440000.0,P:369926.1875
R:214000.0,P:214104.1875
R:100000.0,P:96166.375
R:154500.0,P:151031.390625
R:198900.0,P:198629.5625
R:131000.0,P:125782.2265625
R:227875.0,P:222932.328125
R:173733.0,P:165924.640625
R:155000.0,P:140463.828125
R:133000.0,P:136327.453125
R:240000.0,P:245239.0
R:254000.0,P:225141.015625
R:280000.0,P:210709.8125
R:132000.0,P:116052.5234375
R:143000.0,P:155843.046875
R:108000.0,P:93657.4140625
R:120500.0,P:123290.0859375
R:171000.0,P:227345.515625
R:181000.0,P:208013.046875
R:215000.0,P:209470.90625
R:112500.0,P:121469.0625
R:280000.0,P:314376.5
R:372500.0,P:414821.0625
R:140000.0,P:150261.046875
R:91000.0,P:92670.8046875
R:147000.0,P:134514.421875
R:125000.0,P:124482.25
R:266000.0,P:265064.9375
R:145000.0,P:160844.265625
R:360000.0,P:358441.0
R:164500.0,P:150605.25
R:148500.0,P:160539.265625
R:232000.0,P:228403.609375
R:131400.0,P:128590.1953125
R:155000.0,P:159026.828125
R:254900.0,P:230387.734375
R:172500.0,P:166241.28125
R:143000.0,P:127841.0078125
R:126175.0,P:114165.7890625
R:88000.0,P:93666.3984375
R:125000.0,P:132837.5625
R:174000.0,P:202425.484375
R:129500.0,P:132976.078125
R:119900.0,P:122538.4296875
R:118500.0,P:122611.8046875
R:176000.0,P:172894.484375
R:99500.0,P:127101.8671875
R:297000.0,P:270335.75
R:118964.0,P:111229.4453125
R:226700.0,P:209742.25
R:138500.0,P:135246.03125
R:142500.0,P:118938.2109375
R:139000.0,P:135745.921875
R:171000.0,P:150659.484375
R:160000.0,P:168781.03125
R:132000.0,P:129736.3359375
R:141000.0,P:130599.7421875
R:201000.0,P:216754.953125
R:75000.0,P:91675.5
R:124000.0,P:120942.4609375
R:127000.0,P:122744.9140625
R:139000.0,P:137934.90625
R:100000.0,P:125327.9453125
R:152000.0,P:134462.765625
R:134900.0,P:137688.984375
R:131500.0,P:138460.078125
R:350000.0,P:345909.0
R:378500.0,P:382266.5
R:185500.0,P:195081.28125
R:230000.0,P:218029.578125
R:189000.0,P:179589.890625
R:200000.0,P:254031.796875
R:207000.0,P:185123.375
R:185850.0,P:207793.46875
R:144000.0,P:159668.796875
R:210000.0,P:209034.765625
R:129900.0,P:161803.015625
R:215200.0,P:189716.453125
R:145000.0,P:145931.21875
R:253000.0,P:236028.578125
R:62383.0,P:118979.6484375
R:124000.0,P:128069.2578125
R:233230.0,P:241122.453125
R:135000.0,P:151263.375
R:206900.0,P:201864.015625
R:194201.0,P:195272.453125
R:110000.0,P:95243.0234375
R:142500.0,P:156420.078125
R:109900.0,P:110943.2890625
R:135000.0,P:136453.640625
R:240000.0,P:246975.484375
R:155900.0,P:142126.8125
R:125500.0,P:137670.265625
R:201000.0,P:171892.421875
R:64500.0,P:63341.44921875
R:240000.0,P:221867.71875
R:118858.0,P:110528.1796875
R:139950.0,P:134766.171875
R:123000.0,P:123339.8046875
R:316600.0,P:288865.3125
R:117500.0,P:127901.5546875
R:117500.0,P:115264.8046875
R:91500.0,P:128770.0546875
R:204900.0,P:223848.703125
R:239000.0,P:238787.234375
R:89000.0,P:84767.671875
R:625000.0,P:625024.5625
R:141000.0,P:115962.6953125
R:134000.0,P:138216.109375
R:83000.0,P:91718.78125
R:274900.0,P:301364.0625
R:109000.0,P:98550.4609375
R:102000.0,P:131697.875
R:305000.0,P:317420.5625
R:325000.0,P:316862.96875
R:135000.0,P:119755.9140625
R:130000.0,P:134913.546875
R:191000.0,P:195155.40625
R:200100.0,P:186487.78125
R:367294.0,P:366987.25
R:221000.0,P:205682.046875
R:225000.0,P:218160.453125
R:258000.0,P:253917.8125
R:184750.0,P:185120.203125
R:156000.0,P:145131.734375
R:139000.0,P:140926.90625
R:212000.0,P:218794.6875
R:127500.0,P:130757.1953125
R:119000.0,P:108848.2265625
R:117000.0,P:118522.5078125
R:208500.0,P:202160.03125
R:210000.0,P:142716.453125
R:146500.0,P:145828.421875
R:172785.0,P:176179.796875
R:60000.0,P:133947.6875
R:138887.0,P:131041.5390625
R:225000.0,P:225224.390625
R:135000.0,P:137849.421875
R:133000.0,P:125045.1328125
R:285000.0,P:291280.3125
R:60000.0,P:60307.19921875
R:125500.0,P:112783.90625
R:286000.0,P:284702.8125
R:148000.0,P:144377.546875
R:131500.0,P:154709.1875
R:215000.0,P:169269.015625
R:159500.0,P:180624.421875
R:176000.0,P:177870.90625
R:257000.0,P:269694.5625
R:79000.0,P:98080.4140625
R:190000.0,P:204292.25
R:147500.0,P:134019.765625
R:242000.0,P:250802.59375
R:260000.0,P:263756.9375
R:501837.0,P:490741.375
R:119000.0,P:94312.6328125
R:83000.0,P:87823.921875
R:113000.0,P:125248.1953125
R:239500.0,P:229020.265625
R:370878.0,P:365453.5
R:180000.0,P:185708.25
R:118000.0,P:112898.4765625
R:264561.0,P:263368.75
R:119000.0,P:132862.234375
R:219500.0,P:193063.953125
R:179900.0,P:161533.984375
R:277500.0,P:282428.4375
R:230500.0,P:240242.203125
R:220000.0,P:224285.265625
R:236000.0,P:220218.390625
R:106000.0,P:109425.7421875
R:269790.0,P:219068.640625
R:403000.0,P:401826.25
R:137500.0,P:100498.2890625
R:105000.0,P:114781.0703125
R:176000.0,P:160098.859375
R:82500.0,P:175281.578125
R:98600.0,P:142812.4375
R:129000.0,P:123390.28125
R:149900.0,P:123160.1328125
R:192000.0,P:210219.390625
R:110500.0,P:131887.34375
R:100000.0,P:120263.2421875
R:248328.0,P:245126.75
R:180000.0,P:170975.515625
R:140000.0,P:159999.15625
R:110000.0,P:88895.1796875
R:166000.0,P:159881.046875
R:124900.0,P:142013.015625
R:187500.0,P:186316.703125
R:318000.0,P:317810.4375
R:135000.0,P:131761.125
R:275000.0,P:277742.96875
R:68500.0,P:73075.0
R:137000.0,P:132136.828125
R:127500.0,P:126579.7109375
R:128000.0,P:122229.3125
R:274725.0,P:268814.4375
R:251000.0,P:257637.265625
R:242000.0,P:230462.40625
R:140000.0,P:143973.734375
R:155000.0,P:134096.125
R:369900.0,P:369580.375
R:202900.0,P:217546.46875
R:153900.0,P:148910.078125
R:146000.0,P:150776.34375
R:170000.0,P:158236.90625
R:208300.0,P:188648.3125
R:89500.0,P:88059.0234375
R:230000.0,P:257999.953125
R:129900.0,P:108852.1328125
R:214000.0,P:196640.890625
R:107400.0,P:113200.4453125
R:95000.0,P:93087.6015625
R:91000.0,P:88404.4609375
R:280000.0,P:248440.421875
R:79900.0,P:73205.7578125
R:208900.0,P:203509.859375
R:187000.0,P:184739.21875
R:410000.0,P:423377.125
R:320000.0,P:330732.0
R:213000.0,P:207685.3125
R:126000.0,P:126599.8203125
R:287090.0,P:287022.96875
R:137000.0,P:124591.9375
R:124500.0,P:124753.6953125
R:194000.0,P:201719.921875
R:164000.0,P:187474.609375
R:164000.0,P:163956.046875
R:446261.0,P:443533.9375
R:163500.0,P:131071.2734375
R:165500.0,P:168728.484375
R:98300.0,P:101896.5078125
R:149500.0,P:155273.828125
R:372402.0,P:296293.53125
R:188000.0,P:194875.421875
R:395000.0,P:372279.4375
R:259500.0,P:245364.890625
R:137450.0,P:151022.359375
R:152000.0,P:142479.71875
R:110000.0,P:117632.4296875
R:395192.0,P:395419.875
R:125000.0,P:123790.6015625
R:279500.0,P:244584.421875
R:161000.0,P:168904.421875
R:100000.0,P:111967.1015625
R:140000.0,P:129101.6953125
R:385000.0,P:380950.25
R:112000.0,P:109903.7734375
R:178000.0,P:177733.015625
R:175000.0,P:148076.484375
R:200000.0,P:204586.578125
R:159895.0,P:177478.4375
R:140000.0,P:135020.875
R:140000.0,P:165306.234375
R:274300.0,P:236000.984375
R:186500.0,P:187830.28125
R:176432.0,P:179172.296875
R:197000.0,P:194905.21875
R:284000.0,P:291858.75
R:181000.0,P:186847.171875
R:139000.0,P:138286.0
R:85000.0,P:105318.2890625
R:142000.0,P:130717.0390625
R:229456.0,P:216189.921875
R:290000.0,P:286342.9375
R:153575.0,P:145568.484375
R:113000.0,P:128036.5859375
R:150000.0,P:149452.390625
R:257500.0,P:214030.796875
R:306000.0,P:277599.5
R:155000.0,P:149927.265625
R:143000.0,P:159438.828125
R:189000.0,P:198220.234375
R:233000.0,P:234715.296875
R:212900.0,P:222530.375
R:110000.0,P:132184.40625
R:113000.0,P:110459.7890625
R:116000.0,P:113237.25
R:281213.0,P:279366.9375
R:179500.0,P:182353.0
R:227000.0,P:209904.890625
R:163990.0,P:168494.6875
R:333168.0,P:331600.875
R:126500.0,P:129688.53125
R:232000.0,P:237354.625
R:134432.0,P:125598.7578125
R:169000.0,P:182157.015625
R:175000.0,P:168978.484375
R:145000.0,P:168003.109375
R:180500.0,P:208721.375
R:133900.0,P:178075.6875
R:171900.0,P:178126.015625
R:98000.0,P:103876.1953125
R:118500.0,P:118516.8828125
R:173000.0,P:183619.765625
R:318061.0,P:323982.0
R:305900.0,P:322613.4375
R:135000.0,P:159932.40625
R:140000.0,P:175798.953125
R:135000.0,P:140290.484375
R:269500.0,P:294250.375
R:186700.0,P:180396.609375
