R:263435.0,P:236733.671875
R:89471.0,P:127922.2265625
R:113000.0,P:137780.59375
R:285000.0,P:273232.75
R:114504.0,P:136820.875
R:239000.0,P:188017.25
R:122500.0,P:145432.375
R:111000.0,P:87293.2578125
R:260000.0,P:255816.484375
R:124500.0,P:102886.8359375
R:144000.0,P:128764.0859375
R:180500.0,P:162953.828125
R:137900.0,P:187226.4375
R:136000.0,P:178179.90625
R:225000.0,P:243545.578125
R:135000.0,P:127010.875
R:151000.0,P:147366.890625
R:223500.0,P:214485.5625
R:307000.0,P:278565.71875
R:174000.0,P:168786.3125
R:315000.0,P:351968.0625
R:185000.0,P:190505.359375
R:82000.0,P:83159.7578125
R:98000.0,P:137291.53125
R:295493.0,P:319413.96875
R:120000.0,P:124288.8515625
R:228500.0,P:220617.203125
R:217000.0,P:184804.234375
R:283463.0,P:297669.46875
R:108000.0,P:91638.4296875
R:130000.0,P:126755.25
R:93000.0,P:117295.34375
R:170000.0,P:152152.375
R:437154.0,P:394186.53125
R:109500.0,P:103005.3046875
R:181000.0,P:183699.875
R:119500.0,P:113269.0390625
R:125000.0,P:123985.6171875
R:219210.0,P:229137.375
R:136500.0,P:159932.375
R:139000.0,P:119937.7421875
R:40000.0,P:89452.2578125
R:127000.0,P:129538.0703125
R:438780.0,P:389037.40625
R:231500.0,P:184849.34375
R:80000.0,P:72287.8046875
R:320000.0,P:341760.3125
R:415298.0,P:365725.78125
R:412500.0,P:382042.78125
R:80000.0,P:77077.671875
R:138000.0,P:129047.1015625
R:109900.0,P:94266.1953125
R:177000.0,P:184012.71875
R:132500.0,P:123665.5390625
R:250000.0,P:195995.0625
R:260000.0,P:248501.25
R:275500.0,P:289138.375
R:110000.0,P:109964.2421875
R:228000.0,P:237094.203125
R:275000.0,P:276084.21875
R:155000.0,P:174595.34375
R:108480.0,P:111003.4140625
R:176500.0,P:180197.1875
R:102000.0,P:117462.1171875
R:266500.0,P:214702.03125
R:149500.0,P:161866.296875
R:181000.0,P:171005.40625
R:144900.0,P:141934.40625
R:203000.0,P:211892.25
R:320000.0,P:285538.28125
R:133900.0,P:108502.171875
R:134500.0,P:120403.9765625
R:108500.0,P:81331.671875
R:118000.0,P:139962.8125
R:137500.0,P:146620.84375
R:120000.0,P:121706.1015625
R:186500.0,P:200594.421875
R:120000.0,P:134979.796875
R:68400.0,P:98419.0703125
R:148500.0,P:162734.078125
R:125000.0,P:171678.703125
R:153000.0,P:156896.09375
R:160200.0,P:191703.796875
R:361919.0,P:352302.65625
R:174000.0,P:192581.3125
R:187000.0,P:187594.3125
R:207500.0,P:191817.65625
R:214000.0,P:214347.1875
R:167000.0,P:178751.40625
R:105000.0,P:115104.8125
R:335000.0,P:346273.59375
R:130000.0,P:211520.953125
R:475000.0,P:366321.34375
R:129000.0,P:113539.7421875
R:156000.0,P:132951.796875
R:178000.0,P:193136.765625
R:252000.0,P:254000.03125
R:233170.0,P:217942.140625
R:392500.0,P:277989.1875
R:309000.0,P:312522.96875
R:97000.0,P:104045.1328125
R:354000.0,P:317241.59375
R:241000.0,P:208206.578125
R:154000.0,P:131796.4375
R:95000.0,P:112651.1640625
R:180000.0,P:196879.28125
R:108959.0,P:123982.0703125
R:87000.0,P:109696.8671875
R:112000.0,P:174814.265625
R:255500.0,P:297383.375
R:122900.0,P:126199.8828125
R:216837.0,P:230251.5
R:193500.0,P:184900.484375
R:169990.0,P:183770.265625
R:156500.0,P:167461.640625
R:112500.0,P:102970.6171875
R:145250.0,P:150178.09375
R:154000.0,P:160837.125
R:115000.0,P:147043.75
R:265000.0,P:270953.71875
R:159000.0,P:175534.984375
R:295000.0,P:285394.15625
R:155000.0,P:148029.21875
R:143500.0,P:159519.71875
R:169500.0,P:143642.078125
R:196500.0,P:198139.59375
R:189950.0,P:168852.875
R:235000.0,P:215718.84375
R:301000.0,P:256655.5
R:350000.0,P:353971.09375
R:132500.0,P:116557.9609375
R:164500.0,P:171349.421875
R:100000.0,P:86898.3984375
R:253293.0,P:345339.34375
R:160000.0,P:161236.46875
R:147000.0,P:139796.8125
R:192000.0,P:180414.9375
R:120500.0,P:92524.3515625
R:105500.0,P:129597.7890625
R:35311.0,P:22512.90625
R:143000.0,P:175812.34375
R:440000.0,P:314011.28125
R:214000.0,P:217787.1875
R:100000.0,P:89885.3046875
R:154500.0,P:141366.21875
R:198900.0,P:206799.703125
R:131000.0,P:140429.3125
R:227875.0,P:211364.46875
R:173733.0,P:171349.421875
R:155000.0,P:149076.625
R:133000.0,P:119402.0078125
R:240000.0,P:199194.09375
R:254000.0,P:222198.3125
R:280000.0,P:196202.078125
R:132000.0,P:115609.8203125
R:143000.0,P:148854.09375
R:108000.0,P:97784.3984375
