R:263435.0,P:263153.84375
R:89471.0,P:89225.984375
R:113000.0,P:112786.75
R:285000.0,P:276948.8125
R:114504.0,P:114513.46875
R:239000.0,P:239055.875
R:122500.0,P:121739.96875
R:111000.0,P:113928.8203125
R:260000.0,P:260876.328125
R:124500.0,P:124679.390625
R:144000.0,P:143839.703125
R:180500.0,P:180667.109375
R:137900.0,P:137630.890625
R:136000.0,P:135930.796875
R:225000.0,P:225211.796875
R:135000.0,P:135707.921875
R:151000.0,P:149665.59375
R:223500.0,P:222260.625
R:307000.0,P:290831.6875
R:174000.0,P:170441.640625
R:315000.0,P:314939.8125
R:185000.0,P:184845.046875
R:82000.0,P:81928.359375
R:98000.0,P:97546.953125
R:295493.0,P:293549.5
R:120000.0,P:119854.3984375
R:228500.0,P:227496.703125
R:217000.0,P:217313.71875
R:283463.0,P:281625.6875
R:108000.0,P:108224.7578125
R:130000.0,P:129981.421875
R:93000.0,P:92857.515625
R:170000.0,P:169750.859375
R:437154.0,P:436667.4375
R:109500.0,P:109748.078125
R:181000.0,P:180986.53125
R:119500.0,P:120816.515625
R:125000.0,P:125079.6875
R:219210.0,P:220203.78125
R:136500.0,P:134084.453125
R:139000.0,P:137422.578125
R:40000.0,P:39862.23828125
R:127000.0,P:126936.9921875
R:438780.0,P:438169.15625
R:231500.0,P:233101.671875
R:80000.0,P:79762.875
R:320000.0,P:313845.8125
R:415298.0,P:423609.125
R:412500.0,P:420658.21875
R:80000.0,P:79953.734375
R:138000.0,P:138291.859375
R:109900.0,P:109814.375
R:177000.0,P:176914.328125
R:132500.0,P:129080.453125
R:250000.0,P:250422.484375
R:260000.0,P:259361.328125
R:275500.0,P:275657.5
R:110000.0,P:113061.59375
R:228000.0,P:228243.828125
R:275000.0,P:275203.9375
R:155000.0,P:154883.546875
R:108480.0,P:109643.671875
R:176500.0,P:173275.359375
R:102000.0,P:100931.609375
R:266500.0,P:266530.75
R:149500.0,P:149472.921875
R:181000.0,P:180916.265625
R:144900.0,P:145799.78125
R:203000.0,P:200787.203125
R:320000.0,P:321138.28125
R:133900.0,P:133848.078125
R:134500.0,P:131317.484375
R:108500.0,P:108905.5625
R:118000.0,P:118981.328125
R:137500.0,P:137109.859375
R:120000.0,P:120035.359375
R:186500.0,P:186976.03125
R:120000.0,P:120353.9375
R:68400.0,P:68048.1875
R:148500.0,P:148665.53125
R:125000.0,P:124937.453125
R:153000.0,P:152928.953125
R:160200.0,P:165009.984375
R:361919.0,P:360943.9375
R:174000.0,P:173683.5
R:187000.0,P:186945.65625
R:207500.0,P:207937.09375
R:214000.0,P:216633.84375
R:167000.0,P:166705.140625
R:105000.0,P:104187.15625
R:335000.0,P:333501.125
R:130000.0,P:129635.7109375
R:475000.0,P:475010.0625
R:129000.0,P:128770.59375
R:156000.0,P:153064.140625
R:178000.0,P:178500.734375
R:252000.0,P:270270.75
R:233170.0,P:233030.328125
R:392500.0,P:392397.25
R:309000.0,P:313308.5
R:97000.0,P:98736.453125
R:354000.0,P:347940.6875
R:241000.0,P:241393.8125
R:154000.0,P:153356.546875
R:95000.0,P:94992.25
R:180000.0,P:181269.828125
R:108959.0,P:108697.0078125
R:87000.0,P:86346.21875
R:112000.0,P:111781.75
R:255500.0,P:252150.828125
R:122900.0,P:122819.9921875
R:216837.0,P:219607.828125
R:193500.0,P:194270.71875
R:169990.0,P:172622.234375
R:156500.0,P:156264.140625
R:112500.0,P:112689.140625
R:145250.0,P:144392.984375
R:154000.0,P:153106.1875
R:115000.0,P:115016.859375
R:265000.0,P:260144.71875
R:159000.0,P:162533.390625
R:295000.0,P:294905.75
R:155000.0,P:155662.984375
R:143500.0,P:144256.828125
R:169500.0,P:168420.59375
R:196500.0,P:197639.921875
R:189950.0,P:190094.671875
R:235000.0,P:228003.171875
R:301000.0,P:300603.21875
R:350000.0,P:350509.6875
R:132500.0,P:133131.640625
R:164500.0,P:170700.5625
R:100000.0,P:100134.15625
R:253293.0,P:266316.3125
R:160000.0,P:153214.328125
R:147000.0,P:146434.921875
R:192000.0,P:192304.640625
R:120500.0,P:120446.421875
R:105500.0,P:105349.984375
R:35311.0,P:35404.85546875
R:143000.0,P:142939.328125
R:440000.0,P:430003.5625
R:214000.0,P:216228.484375
R:100000.0,P:99806.515625
R:154500.0,P:155956.890625
R:198900.0,P:197152.171875
R:131000.0,P:131436.734375
R:227875.0,P:239618.984375
R:173733.0,P:165340.546875
R:155000.0,P:154802.734375
R:133000.0,P:132976.15625
R:240000.0,P:240096.140625
R:254000.0,P:251485.90625
R:280000.0,P:280046.15625
R:132000.0,P:133054.1875
R:143000.0,P:143148.140625
R:108000.0,P:107489.25
R:120500.0,P:120978.4375
R:171000.0,P:170928.484375
R:181000.0,P:181327.140625
R:215000.0,P:219397.25
R:112500.0,P:112766.2890625
R:280000.0,P:275877.25
R:372500.0,P:373033.125
R:140000.0,P:140909.328125
R:91000.0,P:89678.6171875
R:147000.0,P:146913.0625
R:125000.0,P:125478.8359375
R:266000.0,P:267541.15625
R:145000.0,P:144908.28125
R:360000.0,P:358090.5625
R:164500.0,P:164725.484375
R:148500.0,P:148265.109375
R:232000.0,P:231757.171875
R:131400.0,P:131339.859375
R:155000.0,P:155146.421875
R:254900.0,P:255644.375
R:172500.0,P:171944.984375
R:143000.0,P:141392.078125
R:126175.0,P:125619.796875
R:88000.0,P:88346.046875
