R:263435.0,P:253401.203125
R:89471.0,P:92282.078125
R:113000.0,P:114657.1796875
R:285000.0,P:282525.15625
R:114504.0,P:118976.3359375
R:239000.0,P:236360.03125
R:122500.0,P:118057.921875
R:111000.0,P:110420.5703125
R:260000.0,P:258726.078125
R:124500.0,P:115010.2265625
R:144000.0,P:130029.1796875
R:180500.0,P:173673.6875
R:137900.0,P:136785.234375
R:136000.0,P:136586.28125
R:225000.0,P:223379.890625
R:135000.0,P:137184.90625
R:151000.0,P:147599.359375
R:223500.0,P:233354.140625
R:307000.0,P:302300.09375
R:174000.0,P:166748.28125
R:315000.0,P:314357.375
R:185000.0,P:188377.5
R:82000.0,P:81620.6015625
R:98000.0,P:97410.5078125
R:295493.0,P:291765.375
R:120000.0,P:122092.71875
R:228500.0,P:231327.25
R:217000.0,P:212723.90625
R:283463.0,P:282304.03125
R:108000.0,P:105806.4609375
R:130000.0,P:134999.734375
R:93000.0,P:111632.5859375
R:170000.0,P:166033.671875
R:437154.0,P:431050.0
R:109500.0,P:111133.8203125
R:181000.0,P:179585.53125
R:119500.0,P:117321.3984375
R:125000.0,P:116858.3046875
R:219210.0,P:210200.96875
R:136500.0,P:134588.53125
R:139000.0,P:137034.421875
R:40000.0,P:64950.4609375
R:127000.0,P:132996.5
R:438780.0,P:434964.53125
R:231500.0,P:211508.21875
R:80000.0,P:101038.9375
R:320000.0,P:314193.71875
R:415298.0,P:407804.75
R:412500.0,P:407735.96875
R:80000.0,P:81013.4765625
R:138000.0,P:136436.734375
R:109900.0,P:107903.2734375
R:177000.0,P:176085.734375
R:132500.0,P:130571.0546875
R:250000.0,P:248886.984375
R:260000.0,P:258009.75
R:275500.0,P:273808.46875
R:110000.0,P:118820.609375
R:228000.0,P:222186.171875
R:275000.0,P:290935.40625
R:155000.0,P:148677.984375
R:108480.0,P:100565.2734375
R:176500.0,P:169957.796875
R:102000.0,P:104587.453125
R:266500.0,P:263057.875
R:149500.0,P:151530.203125
R:181000.0,P:171246.765625
R:144900.0,P:146391.390625
R:203000.0,P:197439.453125
R:320000.0,P:319609.65625
R:133900.0,P:137539.28125
R:134500.0,P:134127.46875
R:108500.0,P:107544.796875
R:118000.0,P:115406.6328125
R:137500.0,P:142950.921875
R:120000.0,P:116789.5703125
R:186500.0,P:187119.671875
